,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,150.6536,154.9631,160.6204,158.6841,804.9511,832.2707,857.5687,882.0452,897.1193,
5.17,155.8052,152.7050,151.4140,158.8075,795.6253,827.4428,847.8105,873.7926,894.1369,
45.20,151.7224,160.8212,154.7782,153.0100,766.8717,798.2368,820.6628,859.4829,877.9052,
103.23,151.0263,150.8449,150.4414,154.9198,739.2761,763.5282,787.2005,814.2452,827.4673,
171.26,149.4219,149.0384,156.4615,155.2174,703.5329,723.3406,751.6422,779.5836,784.4514,
259.29,147.8068,150.6484,148.6051,152.8265,652.0865,687.6650,703.4820,718.4102,748.7561,
377.32,144.0499,146.5456,149.3026,152.5093,621.1352,641.0578,655.8208,677.3995,699.3355,
545.35,140.9423,141.0923,145.2985,150.7421,569.3721,595.8217,611.9503,636.6907,644.5153,
763.38,139.8601,140.5232,143.3859,146.2127,534.9085,542.6527,564.0952,582.4645,602.5393,
981.41,137.4980,144.6851,142.4759,144.1521,514.4979,528.4436,535.2906,552.1256,559.3339,
1199.44,133.8765,137.8334,145.0382,140.0885,495.6349,507.0139,526.2008,544.6294,547.8819,
1417.47,132.0387,138.3047,137.9553,140.5232,490.7449,495.5378,517.4262,518.0441,534.2328,
1715.50,312.4377,312.6644,315.2669,317.0898,672.3636,683.5884,685.1645,688.7400,693.7155,
1740.50,253.6289,254.9144,256.1778,257.9179,592.0308,611.0109,624.3345,625.7221,633.2384,
1840.50,156.3316,151.9153,158.6946,161.3831,507.5276,514.5834,515.5379,529.2596,541.7921,
2040.50,22.6326,27.1730,23.6059,30.0843,372.8213,375.9000,384.0908,402.1290,402.7327,
2340.50,-130.5900,-128.9529,-121.9286,-121.7639,231.5141,216.8867,226.4315,248.7541,254.9530,
