,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,160.5484,165.5839,168.8570,167.2136,829.9284,858.2002,874.0321,886.2330,915.2364,
5.17,163.9587,165.0611,164.8802,170.3879,819.5730,852.4281,875.2439,892.1642,930.3060,
45.20,158.3008,163.8978,167.3148,172.1038,798.4492,825.8882,844.6077,866.8257,886.3930,
103.23,159.7627,160.7063,166.8005,166.7598,764.9004,786.4085,795.2601,829.6820,843.6523,
171.26,156.0468,160.8102,161.2667,169.3493,733.5071,746.7834,764.8481,792.9570,813.3448,
259.29,161.1292,158.2760,163.0368,161.0355,679.5115,704.6083,722.7296,732.7356,770.7743,
377.32,150.6068,156.4503,161.4448,157.7813,635.6799,661.8728,672.8987,703.5005,726.6518,
545.35,146.9970,154.0802,161.5331,162.5429,592.4576,600.0383,620.0070,655.5275,670.4205,
763.38,154.8125,151.7019,157.1999,157.8898,552.8584,576.8066,586.6774,601.4675,614.4621,
981.41,150.8966,152.2260,154.4358,155.5579,544.3015,548.1730,557.2486,569.3056,587.1554,
1199.44,147.8147,149.7519,149.7982,150.9389,524.0604,522.4680,532.2029,548.1722,569.7044,
1417.47,148.2971,146.1857,148.5588,151.9271,514.2211,527.9461,524.9534,550.3548,544.6220,
1715.50,322.8452,326.4932,327.4159,329.4268,689.1667,689.3533,703.8574,726.9096,717.1305,
1740.50,260.6592,264.5720,262.2300,273.6296,620.9266,627.9197,630.8782,652.9456,661.2176,
1840.50,161.0009,164.5921,169.7586,171.6238,521.9569,529.7721,542.4085,541.6430,560.1146,
2040.50,33.9953,30.5766,36.7303,37.8958,391.2241,393.9490,402.3753,421.6016,420.4683,
2340.50,-119.6423,-117.2779,-116.0568,-111.3715,239.9905,243.0360,267.7711,262.4656,270.4324,
