,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,141.5414,137.4201,148.6882,144.5596,795.3156,810.6160,832.0485,857.8364,883.0658,
5.17,138.9532,140.4479,146.7908,146.2799,780.9972,803.5288,839.9188,848.6485,871.2092,
45.20,139.7123,145.7320,145.2883,143.7145,761.8097,783.3003,813.9782,834.2905,842.8215,
103.23,137.4295,142.0998,144.5974,150.1512,721.5378,748.0719,768.5999,794.2901,806.4178,
171.26,135.8071,140.7894,139.9515,143.2240,684.6593,717.5421,728.1193,755.0517,769.0027,
259.29,132.6350,134.6615,141.8930,141.4146,639.9860,658.8910,688.2980,701.1821,724.3896,
377.32,132.0544,134.5011,136.8636,143.7184,603.5770,618.5404,644.0919,658.6131,681.9405,
545.35,130.9934,134.7860,135.4700,138.8398,544.0971,580.9743,584.1644,613.3914,623.9676,
763.38,130.1988,129.4667,133.6367,138.2030,520.4068,541.8735,549.9126,557.3094,580.5934,
981.41,126.5841,129.8634,124.3946,133.1453,495.4231,502.0929,525.0694,528.2931,560.5526,
1199.44,130.6474,127.8500,129.4317,130.7925,468.2967,488.5387,500.4237,514.4322,518.4157,
1417.47,122.2115,119.9289,129.4525,128.9215,481.2502,485.0961,491.2513,509.3680,509.6414,
1715.50,303.5680,299.2669,305.2956,309.6779,651.8122,655.1620,662.9535,663.6036,682.4296,
1740.50,245.6004,246.3554,242.9536,251.5093,586.6135,594.2467,606.7691,619.4690,620.8181,
1840.50,143.7488,143.5409,144.3364,146.8468,483.4473,502.1506,498.0133,519.7462,516.7945,
2040.50,11.0165,13.3291,12.4045,18.4215,358.3634,352.9729,371.2234,385.6900,385.4545,
2340.50,-143.6544,-137.5075,-133.9571,-132.5734,188.8976,211.8046,215.7734,219.1598,239.6956,
